LipidMAPS;ChEBI;Chemical Name;Human Metabolome Database;KEGG
LMFA01010014;CHEBI:28875;undefined;HMDB0000806;C06424
LMFA01030056;CHEBI:28716;undefined;HMDB0003229;C08362
LMGP01050048;CHEBI:74344;undefined;HMDB0010395;No result
LMFA07070041;No result;No result;No result;No result
LMFA07070025;No result;No result;No result;No result
LMFA01030152;CHEBI:27432;undefined;HMDB0001388;C06427
LMFA01030001;CHEBI:15843;undefined;HMDB0001043;C00219
LMFA07070055;No result;No result;No result;No result
LMST05030008;CHEBI:36274;undefined;No result;C05466
LMST02030001;CHEBI:17650;undefined;No result;C00735
LMFA01030185;CHEBI:28125;undefined;HMDB0002183;C06429
LMFA07070024;No result;No result;No result;No result
LMFA07070011;No result;No result;No result;No result
LMFA07070010;No result;No result;No result;No result
LMST05030001;CHEBI:17687;undefined;No result;C01921
LMFA07070021;No result;No result;No result;No result
LMFA07070109;No result;No result;No result;No result
LMFA07070026;No result;No result;No result;No result
LMFA07070026;No result;No result;No result;No result
LMFA07070032;No result;No result;No result;No result
LMFA07070042;No result;No result;No result;No result
LMFA07070033;No result;No result;No result;No result
LMFA07070025;No result;No result;No result;No result
LMFA07070044;No result;No result;No result;No result
LMFA01030120;CHEBI:17351;undefined;HMDB0000673;C01595
LMFA07010893;No result;No result;No result;No result
LMFA07070092;No result;No result;No result;No result
LMFA01100047;CHEBI:17191;undefined;HMDB0000172;C00407
LMFA01170115;No result;No result;No result;No result
LMFA01010014;CHEBI:28875;undefined;HMDB0000806;C06424
LMFA01030073;CHEBI:27997;undefined;No result;C01712
LMGP01020046;CHEBI:44811;undefined;HMDB0062195;No result
LMFA01030056;CHEBI:28716;undefined;HMDB0003229;C08362
LMFA07070004;CHEBI:17490;undefined;HMDB0000222;C02990
LMGP01050012;CHEBI:64489;undefined;HMDB0010379;No result
LMGP01050012;CHEBI:64489;undefined;HMDB0010379;No result
LMGP01050020;No result;No result;No result;No result
LMGP01050020;No result;No result;No result;No result
LMGP01050024;CHEBI:74340;undefined;HMDB0012108;No result
LMGP01050024;CHEBI:74340;undefined;HMDB0012108;No result
LMGP01050024;CHEBI:74340;undefined;HMDB0012108;No result
LMGP01050139;No result;No result;No result;No result
LMGP01050139;No result;No result;No result;No result
LMGP01050048;CHEBI:74344;undefined;HMDB0010395;No result
LMGP01050048;CHEBI:74344;undefined;HMDB0010395;No result
LMGP01050050;No result;undefined;HMDB0010397;No result
LMGP01050050;No result;undefined;HMDB0010397;No result
LMGP01050055;No result;No result;No result;No result
LMGP01050055;No result;No result;No result;No result
LMGP01060010;CHEBI:64496;undefined;No result;No result
LMGP01060010;CHEBI:64496;undefined;No result;No result
LMGP01060029;No result;undefined;No result;No result
LMGP01070006;CHEBI:73850;undefined;HMDB0010407;No result
LMGP02050002;CHEBI:73004;undefined;HMDB0011503;No result
LMGP02050001;CHEBI:75036;undefined;HMDB0011130;No result
LMGP02050004;CHEBI:74971;undefined;HMDB0011506;No result
LMGP02050011;CHEBI:83058;undefined;HMDB0011507;No result
LMFA01170006;No result;undefined;HMDB0000792;C08277
LMSP01050001;No result;undefined;No result;C06124
LMFA01010018;CHEBI:28842;undefined;HMDB0000827;C01530
LMFA07070008;CHEBI:84644;undefined;No result;No result
LMST05040005;CHEBI:16525;undefined;HMDB0000951;C05465
LMST05040004;No result;No result;No result;No result
LMFA07070020;No result;No result;No result;No result
LMFA07070057;No result;No result;No result;No result
LMFA07070057;No result;No result;No result;No result
LMGP01070006;CHEBI:73850;undefined;HMDB0010407;No result
LMGP01060010;CHEBI:64496;undefined;No result;No result
