Chemical Name;ChEBI;Human Metabolome Database;KEGG;LipidMAPS;;
fructose-6-phosphate;No result;No result;No result;No result;;
uridine;CHEBI:16704;HMDB0000296;C00299;No result;;
leucylleucine;No result;No result;No result;No result;;
creatine;CHEBI:16919;HMDB0000064;C00300;No result;;
cytidine;CHEBI:17562;HMDB0000089;C00475;No result;;
lactate;CHEBI:24996;No result;No result;No result;;
cytidine_5'-monophosphate;No result;No result;No result;No result;;
UDP-N-acetylglucosamine;No result;No result;No result;No result;;
inosine;CHEBI:17596;HMDB0000195;C00294;No result;;
histamine;CHEBI:58432;No result;No result;No result;;5 minutes
phenol_sulfate;No result;No result;No result;No result;;
glutathione;_reduced;No result;No result;No result;;
1;5-anhydroglucitol;No result;No result;No result;;
pyruvate;CHEBI:15361;No result;No result;No result;;
maltotriose;No result;No result;No result;No result;;
urea;No result;No result;No result;No result;;
glucose-6-phosphate;No result;No result;No result;No result;;
S-adenosylhomocysteine;CHEBI:16680;HMDB0000939;C00021;No result;;
taurine;CHEBI:15891;HMDB0000251;C00245;No result;;
glutathione;_oxidized;No result;No result;No result;;
maltotetraose;No result;No result;No result;No result;;
adenosine_5'diphosphoribose;No result;No result;No result;No result;;
5-methylthioadenosine;No result;No result;No result;No result;;
ascorbate;CHEBI:38290;No result;No result;No result;;
mannose-6-phosphate;No result;No result;No result;No result;;
maltose;No result;No result;No result;No result;;
guanosine;CHEBI:16750;HMDB0000133;C00387;No result;;
N-acetylneuraminate;No result;No result;No result;No result;;
glutamine;CHEBI:18050;HMDB0000641;C00064;No result;;
mannitol;No result;No result;No result;No result;;
dehydroisoandrosterone_sulfate;No result;No result;No result;No result;;
catechol_sulfate;No result;No result;No result;No result;;
trans-4-hydroxyproline;No result;No result;No result;No result;;
phenylacetylglutamine;CHEBI:58310;No result;No result;No result;;
N-acetyl-aspartyl-glutamate;No result;No result;No result;No result;;
creatinine;CHEBI:16737;HMDB0000562;C00791;No result;;
nicotinamide;No result;No result;No result;No result;;
N-acetylaspartate;CHEBI:21547;HMDB0000812;C01042;No result;;
ergothioneine;CHEBI:4828;HMDB0003045;No result;No result;;
beta-alanine;No result;No result;No result;No result;;
mannose;No result;No result;No result;No result;;
tryptophan_betaine;No result;No result;No result;No result;;
choline_phosphate;No result;No result;No result;No result;;
piperine;CHEBI:28821;HMDB0029377;C03882;No result;;
theobromine;CHEBI:28946;HMDB0002825;C07480;No result;;
hippurate;CHEBI:18089;HMDB0000714;C01586;No result;;
inositol_1-phosphate;No result;No result;No result;No result;;
3-methylhistidine;CHEBI:27596;HMDB0000479;C01152;No result;;
coenzyme_A;No result;No result;No result;No result;;
cysteinylglycine;CHEBI:61694;HMDB0000078;C01419;No result;;
glycerol_3-phosphate;No result;No result;No result;No result;;
adenosine_5'-diphosphate;No result;No result;No result;No result;;
