"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"HMDB02712","1,5-Anhydrosorbitol","HMDB0002712","64960","16070","C07326","3775","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"HMDB10382","LysoPC(16:0)","HMDB0010382","460602","72998","C04230",NA,"CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)O","1"
"HMDB00510","Aminoadipic acid","HMDB0000510","469","37024","C00956","5496","NC(CCCC(=O)O)C(=O)O","1"
"HMDB00452","L-Alpha-aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@@H](C(=O)O)N","1"
"HMDB00695","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"HMDB00357","D(-)-beta-hydroxy butyric acid","HMDB0000357","441","20067","C01089","125","CC(O)CC(=O)O","1"
"HMDB13701","3-Oxoglutaric acid","HMDB0013701","68328",NA,NA,NA,"[H]OC(=O)C([H])([H])C(=O)C([H])([H])C(=O)O[H]","1"
"HMDB00112","Gamma-Aminobutyric acid","HMDB0000112","223130","16865","C00334",NA,"NCCCC(=O)O","1"
"HMDB01859","Acetaminophen","HMDB0001859","1983","46195","C06804","6353","CC(=O)NC1=CC=C(O)C=C1","1"
"HMDB00072","cis-Aconitic acid","HMDB0000072","643757","32805","C00417","5130","OC(=O)C\C(=C\C(O)=O)C(O)=O","1"
"HMDB00045","Adenosine monophosphate","HMDB0000045","6083","16027","C00020","5111","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"HMDB00050","Adenosine","HMDB0000050","60961","16335","C00212","86","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"HMDB00448","Adipic acid","HMDB0000448","196","30832","C06104","115","C(CCC(=O)O)CC(=O)O","1"
"HMDB00161","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"HMDB00208","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"HMDB01893","Alpha-Tocopherol","HMDB0001893","14985","18145","C02477","6376","CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O","1"
"HMDB29942","D-Arabinose","HMDB0029942","66308","46983",NA,NA,"OC[C@@H](O)[C@@H](O)[C@H](O)C=O","1"
"HMDB00568","D-Arabitol","HMDB0000568","94154","18333","C01904","5551","OC[C@@H](O)C(O)[C@H](O)CO","1"
"HMDB00517","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"HMDB00168","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"HMDB00191","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
