"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"C07326","1,5-Anhydrosorbitol","HMDB0002712","64960","16070","C07326","3775","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"C00956","Aminoadipic acid","HMDB0000510","469","37024","C00956","5496","NC(CCCC(=O)O)C(=O)O","1"
"C02356","L-Alpha-aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@@H](C(=O)O)N","1"
"C00233","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"C01089","3R-hydroxy-butanoic acid","HMDB0000011","92135","17066","C01089",NA,"C[C@H](CC(=O)O)O","1"
"C00334","Gamma-Aminobutyric acid","HMDB0000112","223130","16865","C00334",NA,"NCCCC(=O)O","1"
"C00417","cis-Aconitic acid","HMDB0000072","643757","32805","C00417","5130","OC(=O)C\C(=C\C(O)=O)C(O)=O","1"
"C00020","Adenosine monophosphate","HMDB0000045","6083","16027","C00020","5111","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"C00212","Adenosine","HMDB0000050","60961","16335","C00212","86","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"C06104","Adipic acid","HMDB0000448","196","30832","C06104","115","C(CCC(=O)O)CC(=O)O","1"
"C00041","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"C00026","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"C02477","Alpha-Tocopherol","HMDB0001893","14985","18145","C02477","6376","CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O","1"
"C01904","D-Arabitol","HMDB0000568","94154","18333","C01904","5551","OC[C@@H](O)C(O)[C@H](O)CO","1"
"C00062","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"C00152","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"C00049","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"C00180","Benzoate","HMDB0013677","7424","39912","C00180",NA,"OC(=O)C1=CC(O)=CC(O)=C1","1"
"C00099","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"C06422","Cellobiose","HMDB0000055","10712","36217","C06422","3480","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"C06219","Cellotriose","METPA0796",NA,"3528","C06219",NA,NA,"1"
"C00187","Cholesterol","HMDB0000067","5997","1307929","C00187","163","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C","1"
"C00158","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"C00327","Citrulline","HMDB0000904","9750","16349","C00327","16","N[C@@H](CCCNC(N)=O)C(O)=O","1"
"C00791","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)NC1=N","1"
"C02291","L-Cystathionine","HMDB0000099","439258","17482","C02291","39","N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O","1"
"C00491","L-Cystine","HMDB0000192","67678","16283","C00491","5207","N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O","1"
"C06429","Docosahexaenoic acid","HMDB0002183","445580","28125","C06429","3457","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O","1"
"C02679","Dodecanoic acid","HMDB0000638","3893","30805","C02679","5611","CCCCCCCCCCCC(=O)O","1"
"C06428","Eicosapentaenoic acid","HMDB0001999","446284","28364","C06428","6423","CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1"
"C00219","Arachidonic acid","HMDB0001043","444899","15843","C00219","193","CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O","1"
"C16526","Eicosenoic acid","HMDB0002231","5282768","32425","C16526","6563","CCCCCCCC/C=C\CCCCCCCCCC(=O)O","1"
"C00503","Erythritol","HMDB0002994","222285","17113","C00503","140","OC[C@H](O)[C@H](O)CO","1"
"C00189","Ethanolamine","HMDB0000149","700","16000","C00189","3207","NCCO","1"
"C01094","3a,6b,7a,12a-Tetrahydroxy-5b-cholanoic acid","HMDB0000399","5283899",NA,"C01094","5388","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H]([C@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)O)C","1"
"C00085","Fructose 6-phosphate","HMDB0000124","69507","15946","C00085","5159","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"C02336","D-Fructose","HMDB0000660","439709","28645","C02336","135","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"C00122","Fumaric acid","HMDB0000134","444972","18012","C00122","3242","OC(=O)\C=C\C(O)=O","1"
"C00257","Gluconic acid","HMDB0000625","10690","33198","C00257","345","OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"C00092","Glucose 6-phosphate","HMDB0001401","5958","4170","C00092","145","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"C00031","NA","NA","NA","NA","NA","NA","NA","0"
"C00217","D-Glutamic acid","HMDB0003339","23327","15966","C00217","6895","N[C@H](CCC(O)=O)C(O)=O","1"
"C00064","L-Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
