"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"1,5-Anhydro-D-glucitol","1,5-Anhydrosorbitol","HMDB0002712","64960","16070","C07326","3775","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"1-Palmitoyl-sn-glycero-3-Phosphocholine (TMS derivative)","NA","NA","NA","NA","NA","NA","NA","0"
"2-Aminoadipic acid","Aminoadipic acid","HMDB0000510","469","37024","C00956","5496","NC(CCCC(=O)O)C(=O)O","1"
"2-Aminobutyric acid","L-Alpha-aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@@H](C(=O)O)N","1"
"2-Deoxyguanosine","Deoxyguanosine","HMDB0000085","187790","17172","C00330","3395","NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1","1"
"2-Oxoisocaproic acid","Ketoleucine","HMDB0000695","70","48430","C00233","5663","CC(C)CC(=O)C(O)=O","1"
"3-Hydroxybutyric acid","3-Hydroxybutyric acid","HMDB0000357","441","20067","C01089","125","CC(O)CC(O)=O","1"
"3-Oxoglutaric acid","3-Oxoglutaric acid","HMDB0013701","68328",NA,NA,NA,"[H]OC(=O)C([H])([H])C(=O)C([H])([H])C(=O)O[H]","1"
"4-Aminobutyric acid","Gamma-Aminobutyric acid","HMDB0000112","223130","16865","C00334",NA,"NCCCC(=O)O","1"
"Acetaminophen","Acetaminophen","HMDB0001859","1983","46195","C06804","6353","CC(=O)NC1=CC=C(O)C=C1","1"
"cis-Aconitic acid","cis-Aconitic acid","HMDB0000072","643757","32805","C00417","5130","OC(=O)C\C(=C\C(O)=O)C(O)=O","1"
"Adenosine-5-monophosphate","Adenosine monophosphate","HMDB0000045","6083","16027","C00020","5111","NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"Adenosine","Adenosine","HMDB0000050","60961","16335","C00212","86","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"Adipic acid","Adipic acid","HMDB0000448","196","30832","C06104","115","C(CCC(=O)O)CC(=O)O","1"
"Alanine","L-Alanine","HMDB0000161","5950","16977","C00041",NA,"C[C@H](N)C(O)=O","1"
"2-Oxoglutaric acid","Oxoglutaric acid","HMDB0000208","51","30915","C00026","5218","OC(=O)CCC(=O)C(O)=O","1"
"alfa-Tocopherol","NA","NA","NA","NA","NA","NA","NA","0"
"Arabinose","L-Arabinose","HMDB0000646","439195","17535","C02479","5474","O[C@H]1COC(O)[C@H](O)[C@H]1O","1"
"Arabitol","D-Arabitol","HMDB0000568","94154","18333","C01904","5551","OC[C@@H](O)C(O)[C@H](O)CO","1"
"Arginine","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"Asparagine","L-Asparagine","HMDB0000168","6267","17196","C00152","14","N[C@@H](CC(N)=O)C(O)=O","1"
"Aspartic acid","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"Benzoic acid","Benzoic acid","HMDB0001870","243","30746","C00539","1297","OC(=O)C1=CC=CC=C1","1"
"Beta-Alanine","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"Cellobiose","Cellobiose","HMDB0000055","10712","36217","C06422","3480","OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"Cellotriose","Cellotriose","METPA0796",NA,"3528","C06219",NA,NA,"1"
