"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"fructose-6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","15946","C00085","5159","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"uridine","Uridine","HMDB0000296","6029","16704","C00299","90","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"leucylleucine","Leucyl-Leucine","HMDB0028933","94244","73531","C11332",NA,"CC(C)CC(N)C(=O)NC(CC(C)C)C(O)=O","1"
"creatine","Creatine","HMDB0000064","586","16919","C00300","7","CN(CC(O)=O)C(N)=N","1"
"cytidine","Cytidine","HMDB0000089","6253","17562","C00475","3376","NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O","1"
"lactate","L-Lactic acid","HMDB0000190","107689","422","C00186","5205","C[C@H](O)C(O)=O","1"
"cytidine_5'-monophosphate","NA","NA","NA","NA","NA","NA","NA","0"
"UDP-N-acetylglucosamine","Uridine diphosphate-N-acetylglucosamine","HMDB0000290","445675","16264","C00043","5281","CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O","1"
"inosine","Inosine","HMDB0000195","6021","17596","C00294","84","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12","1"
"histamine","Histamine","HMDB0000870","774","18295","C00388","68","NCCC1=CNC=N1","1"
"phenol_sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"glutathione,_reduced","NA","NA","NA","NA","NA","NA","NA","0"
"1,5-anhydroglucitol","1,5-Anhydrosorbitol","HMDB0002712","64960","16070","C07326","3775","OC[C@H]1OC[C@H](O)[C@@H](O)[C@@H]1O","1"
"pyruvate","Pyruvic acid","HMDB0000243","1060","32816","C00022","117","CC(=O)C(=O)O","1"
"maltotriose","Maltotriose","HMDB0001262","439586","140999","C01835","3585","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"urea","Urea","HMDB0000294","1176","16199","C00086","6","NC(N)=O","1"
"glucose-6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","4170","C00092","145","OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O","1"
"S-adenosylhomocysteine","S-Adenosylhomocysteine","HMDB0000939","439155","16680","C00021","296","N[C@@H](CCSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)=O","1"
"taurine","Taurine","HMDB0000251","1123","15891","C00245","31","NCCS(O)(=O)=O","1"
"glutathione,_oxidized","NA","NA","NA","NA","NA","NA","NA","0"
"maltotetraose","Maltotetraose","HMDB0001296","439639","143180","C02052","4199","OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)C(O)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"adenosine_5'diphosphoribose","NA","NA","NA","NA","NA","NA","NA","0"
"5-methylthioadenosine","5'-Methylthioadenosine","HMDB0001173","439176","17509","C00170","3425","CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N","1"
"ascorbate","Ascorbate",NA,"3372","29073 38290","C00072",NA,NA,"1"
"mannose-6-phosphate","Mannose 6-phosphate","HMDB0001078","439198","49728","C00275","5987","O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O","1"
"maltose","Maltose","HMDB0037138","439341","18167","C00897",NA,"OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O","1"
"guanosine","Guanosine","HMDB0000133","6802","16750","C00387","87","NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1","1"
"N-acetylneuraminate","N-Acetylneuraminate",NA,"3568","17012","C00270",NA,NA,"1"
"glutamine","L-Glutamine","HMDB0000641","5961","18050","C00064","5614","N[C@@H](CCC(N)=O)C(O)=O","1"
"mannitol","Mannitol","HMDB0000765","6251","16899","C00392","142","OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO","1"
"dehydroisoandrosterone_sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"catechol_sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"trans-4-hydroxyproline","4-Hydroxyproline","HMDB0000725","5810","18095","C01157","257","O[C@H]1CN[C@@H](C1)C(O)=O","1"
"phenylacetylglutamine","Phenylacetylglutamine","HMDB0006344","92258","17884","C04148",NA,"NC(=O)CC[C@H](NC(=O)CC1=CC=CC=C1)C(O)=O","1"
"N-acetyl-aspartyl-glutamate","NA","NA","NA","NA","NA","NA","NA","0"
"creatinine","Creatinine","HMDB0000562","588","16737","C00791","8","CN1CC(=O)NC1=N","1"
"nicotinamide","Niacinamide","HMDB0001406","936","17154","C00153","1497","NC(=O)C1=CC=CN=C1","1"
"N-acetylaspartate","N-Acetyl-L-aspartic acid","HMDB0000812","65065","21547","C01042","5776","CC(=O)N[C@@H](CC(O)=O)C(O)=O","1"
"ergothioneine","Ergothioneine","HMDB0003045","5351619","4828","C05570","53","C[N+](C)(C)[C@@H](CC1=CNC(=S)N1)C([O-])=O","1"
"beta-alanine","beta-Alanine","HMDB0000056","239","16958","C00099","5119","NCCC(O)=O","1"
"mannose","D-Mannose","HMDB0000169","18950","4208","C00936",NA,"OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O","1"
"tryptophan_betaine","NA","NA","NA","NA","NA","NA","NA","0"
"choline_phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"piperine","Piperine","HMDB0029377","638024","28821","C03882",NA,"O=C(\C=C\C=C\C1=CC2=C(OCO2)C=C1)N1CCCCC1","1"
"theobromine","Theobromine","HMDB0002825","5429","28946","C07480","1456","CN1C=NC2=C1C(O)=NC(=O)N2C","1"
"hippurate","Hippuric acid","HMDB0000714","464","18089","C01586","1301","OC(=O)CNC(=O)C1=CC=CC=C1","1"
"inositol_1-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"3-methylhistidine","3-Methylhistidine","HMDB0000479","64969","27596","C01152","5466","[H][C@](N)(CC1=CN=CN1C)C(O)=O","1"
"coenzyme_A","NA","NA","NA","NA","NA","NA","NA","0"
"cysteinylglycine","Cysteinylglycine","HMDB0000078","439498","4047","C01419","5134","N[C@@H](CS)C(=O)NCC(O)=O","1"
"glycerol_3-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"adenosine_5'-diphosphate","NA","NA","NA","NA","NA","NA","NA","0"
"deoxycholate","Deoxycholic acid","HMDB0000626","222528","28834","C04483","265","C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C","1"
"phenylacetylglycine","Phenylacetylglycine","HMDB0000821","68144","27480","C05598","4237","OC(=O)CNC(=O)CC1=CC=CC=C1","1"
"N-acetylputrescine","N-Acetylputrescine","HMDB0002064","122356","17768","C02714","3252","CC(=O)NCCCCN","1"
"hexanoylcarnitine","Hexanoylcarnitine","HMDB0000705","6426853","70749",NA,"5673","CCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","1"
"4-acetamidophenol","Acetaminophen","HMDB0001859","1983","46195","C06804","6353","CC(=O)NC1=CC=C(O)C=C1","1"
"nicotinamide_adenine_dinucleotide","NA","NA","NA","NA","NA","NA","NA","0"
"myo-inositol","myo-Inositol","HMDB0000211",NA,"17268","C00137","5221","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"cholesterol","Cholesterol","HMDB0000067","5997","1307929","C00187","163","C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CCC(C4)O)C)C","1"
"3-aminoisobutyrate","3-Aminoisobutanoic acid","HMDB0003911","64956","27389","C05145","5472","CC(CN)C(=O)O","1"
"adenosine","Adenosine","HMDB0000050","60961","16335","C00212","86","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"phosphate","Phosphate","HMDB0001429","1004","26078","C00009","3231","OP(O)(O)=O","1"
"penicillin_G","NA","NA","NA","NA","NA","NA","NA","0"
"aspartate","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"scyllo-inositol","scyllo-Inositol","HMDB0006088","892","10642","C06153",NA,"O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"urate","Uric acid","HMDB0000289","1175","17775","C00366","88","O=C1NC2=C(N1)C(=O)NC(=O)N2","1"
"7-alpha-hydroxy-3-oxo-4-cholestenoate","NA","NA","NA","NA","NA","NA","NA","0"
"pipecolate","Pipecolic acid","HMDB0000070","849","17964","C00408","50","OC(=O)C1CCCCN1","1"
"nicotinamide_adenine_dinucleotide_reduced","NA","NA","NA","NA","NA","NA","NA","0"
"anserine","Anserine","HMDB0000194","112072","18323","C01262","5209","CN1C=NC=C1C[C@H](NC(=O)CCN)C(O)=O","1"
"paraxanthine","Paraxanthine","HMDB0001860","4687","25858","C13747","1457","CN1C=NC2=C1C(=O)N(C)C(=O)N2","1"
"phosphoethanolamine","O-Phosphoethanolamine","HMDB0000224","1015","17553","C00346","5233","NCCOP(O)(O)=O","1"
"citrate","Citric acid","HMDB0000094","311","30769","C00158","124","OC(=O)CC(O)(CC(O)=O)C(O)=O","1"
"alpha-tocopherol","Alpha-Tocopherol","HMDB0001893","14985","18145","C02477","6376","CC1=C(C(=C2CC[C@@](OC2=C1C)(C)CCC[C@H](C)CCC[C@H](C)CCCC(C)C)C)O","1"
"p-cresol_sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"arabitol","D-Arabitol","HMDB0000568","94154","18333","C01904","5551","OC[C@@H](O)C(O)[C@H](O)CO","1"
"uridine_5'-diphosphate","NA","NA","NA","NA","NA","NA","NA","0"
"3'-dephosphocoenzyme_A","NA","NA","NA","NA","NA","NA","NA","0"
"quinolinate","Quinolinic acid","HMDB0000232","1066","16675","C03722","330","OC(=O)C1=CC=CN=C1C(O)=O","1"
"2'-deoxyinosine","Deoxyinosine","HMDB0000071","65058","28997","C05512","3383","OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CNC2=O","1"
"sebacate","Sebacic acid","HMDB0000792","5192","41865","C08277","4240","C(CCCCC(=O)O)CCCC(=O)O","1"
"azelate","Azelaic acid","HMDB0000784","2266","48131","C08261","5750","C(CCCC(=O)O)CCCC(=O)O","1"
"6-phosphogluconate","6-Phosphogluconic acid","HMDB0001316","91493","48928","C00345","367","O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O","1"
"fructose","D-Fructose","HMDB0000660","439709","28645","C02336","135","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"homocarnosine","Homocarnosine","HMDB0000745","10243361","85981","C00884","270","NCCCC(=O)N[C@@H](CC1=CNC=N1)C(O)=O","1"
"erythritol","Erythritol","HMDB0002994","222285","17113","C00503","140","OC[C@H](O)[C@H](O)CO","1"
"2-hydroxyglutarate","2-Hydroxyglutarate","HMDB0059655","43","17084","C02630",NA,"OC(CCC(O)=O)C(O)=O","1"
"flavin_adenine_dinucleotide","NA","NA","NA","NA","NA","NA","NA","0"
"3-phosphoglycerate","3-Phosphoglyceric acid","HMDB0000807","724","17050","C00597","150","OC(COP(O)(O)=O)C(O)=O","1"
"glycerophosphorylcholine","Glycerophosphocholine","HMDB0000086","71920","16870","C00670","370","C[N+](C)(C)CCOP(=O)([O-])OC[C@H](CO)O","1"
"ribose","D-Ribose","HMDB0000283","5779","47013","C00121","313","OC[C@H]1OC(O)[C@H](O)[C@@H]1O","1"
"acetylcholine","Acetylcholine chloride","HMDB0000895","6060","15355","C01996","57","CC(=O)OCC[N+](C)(C)C","1"
"xylulose","NA","NA","NA","NA","NA","NA","NA","0"
"1,7-dimethylurate","NA","NA","NA","NA","NA","NA","NA","0"
"spermine","Spermine","HMDB0001256","1103","15746","C00750","255","NCCCNCCCCNCCCN","1"
"carnosine","Carnosine","HMDB0000033","439224","15727","C00386","38","NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O","1"
"pseudouridine","Pseudouridine","HMDB0000767","15047","17802","C02067","5734","OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)C1=CNC(=O)NC1=O","1"
"xylitol","Xylitol","HMDB0002917","6912","17151","C00379",NA,"OC[C@H](O)[C@@H](O)[C@H](O)CO","1"
"agmatine","Agmatine","HMDB0001432","199","17431","C00179","3523","NCCCCNC(N)=N","1"
"5-hydroxyindoleacetate","5-Hydroxyindoleacetic acid","HMDB0000763","1826","27823","C05635","2975","OC(=O)CC1=CNC2=C1C=C(O)C=C2","1"
"isocitrate","Isocitric acid","HMDB0000193","1198","30887","C00311","3328","OC(C(CC(O)=O)C(O)=O)C(O)=O","1"
"2-hydroxystearate","NA","NA","NA","NA","NA","NA","NA","0"
"pyridoxate","4-Pyridoxic acid","HMDB0000017","6723","17405","C00847","239","CC1=NC=C(CO)C(C(O)=O)=C1O","1"
"4-acetaminophen_sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"glycerol_2-phosphate","NA","NA","NA","NA","NA","NA","NA","0"
"galactose","D-Galactose","HMDB0000143","439357","28061","C00984","134","OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O","1"
"2-aminobutyrate","L-Alpha-aminobutyric acid","HMDB0000452","80283","35619","C02356","12","CC[C@@H](C(=O)O)N","1"
"2-hydroxybutyrate","2-Hydroxybutyric acid","HMDB0000008","11266","1148","C05984","3783","CCC(O)C(=O)O","1"
"glycylleucine","Glycylleucine","HMDB0000759","92843","73514","C02155","5727","CC(C)C[C@H](NC(=O)CN)C(O)=O","1"
"cis-aconitate","cis-Aconitic acid","HMDB0000072","643757","32805","C00417","5130","OC(=O)C\C(=C\C(O)=O)C(O)=O","1"
"caffeine","Caffeine","HMDB0001847","2519","27732","C07481","1455","CN1C=NC2=C1C(=O)N(C)C(=O)N2C","1"
"heme","Heme","HMDB0003178","26945","17627","C00032","3680","CC1=C(CCC(O)=O)C2=CC3=[N+]4C(=CC5=C(C)C(C=C)=C6C=C7C(C)=C(C=C)C8=[N+]7[Fe--]4(N2C1=C8)N56)C(C)=C3CCC(O)=O","1"
"4-vinylphenol_sulfate","NA","NA","NA","NA","NA","NA","NA","0"
"serotonin","Serotonin","HMDB0000259","5202","28790","C00780","74","NCCC1=CNC2=C1C=C(O)C=C2","1"
"indolelactate","Indolelactic acid","HMDB0000671","676157","24813","C02043","5641","O[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O","1"
"uridine_5'-monophosphate","NA","NA","NA","NA","NA","NA","NA","0"
"ribulose","D-Ribulose","HMDB0000621","12358756","17173","C00309","5594","OC[C@@]1(O)OC[C@@H](O)[C@H]1O","1"
"adenosine_5'-triphosphate","NA","NA","NA","NA","NA","NA","NA","0"
"histidine","L-Histidine","HMDB0000177","6274","15971","C00135","21","N[C@@H](CC1=CN=CN1)C(O)=O","1"
"N-acetylthreonine","N-Acetylthreonine","HMDB0062557","152204","45826",NA,NA,"C[C@@H](O)[C@H](NC(C)=O)C(O)=O","1"
"glucose","D-Glucose","HMDB0000122","5793","4167","C00221","133","OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O","1"
"3-(4-hydroxyphenyl)lactate","Hydroxyphenyllactic acid","HMDB0000755","9378","17385","C03672","5723","OC(CC1=CC=C(O)C=C1)C(O)=O","1"
"betaine","Betaine","HMDB0000043","247","17750","C00719","287","C[N+](C)(C)CC([O-])=O","1"
"adenine","Adenine","HMDB0000034","190","16708","C00147","85","NC1=C2NC=NC2=NC=N1","1"
"2-aminoadipate","Aminoadipic acid","HMDB0000510","469","37024","C00956","5496","NC(CCCC(=O)O)C(=O)O","1"
"arginine","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
